Reading,Load [N],Travel [mm],Time
233,-0.2,-9.72,9.621
234,-0.2,-9.72,9.64
235,-0.2,-9.82,9.704
236,-0.2,-9.82,9.721
237,-0.2,-9.9,9.784
238,-0.2,-9.92,9.8
239,-0.2,-10,9.867
240,-0.2,-10.02,9.88
241,-0.2,-10.1,9.94
242,-0.2,-10.1,9.96
243,-0.3,-10.18,10.02
244,-0.3,-10.2,10.04
245,-0.3,-10.28,10.102
246,-0.2,-10.28,10.12
247,-0.3,-10.38,10.186
248,-0.3,-10.38,10.2
249,-0.3,-10.46,10.268
250,-0.2,-10.48,10.282
251,-0.3,-10.56,10.36
252,-0.3,-10.58,10.38
253,-0.3,-10.66,10.427
254,-0.3,-10.66,10.44
255,-0.2,-10.7,10.501
256,-0.3,-10.76,10.52
257,-0.3,-10.78,10.562
258,-0.2,-10.82,10.58
259,-0.3,-10.88,10.624
260,-0.3,-10.88,10.64
261,-0.3,-10.96,10.701
262,-0.3,-10.98,10.72
263,-0.3,-11.04,10.76
264,-0.3,-11.06,10.78
265,-0.3,-11.12,10.824
266,-0.3,-11.12,10.84
267,-0.3,-11.2,10.882
268,-0.3,-11.2,10.9
269,-0.3,-11.24,10.94
270,-0.3,-11.26,10.961
271,-0.3,-11.32,11.003
272,-0.3,-11.34,11.02
273,-0.3,-11.4,11.062
274,-0.3,-11.42,11.08
275,-0.3,-11.44,11.121
276,-0.3,-11.48,11.14
277,-0.3,-11.52,11.181
278,-0.3,-11.54,11.2
279,-0.3,-11.68,11.3
280,-0.3,-11.7,11.32
281,-0.3,-11.82,11.44
282,-0.3,-11.86,11.46
283,-0.3,-11.92,11.54
284,-0.3,-11.98,11.56
285,-0.3,-12.06,11.642
286,-0.2,-12.08,11.66
287,-0.2,-12.24,11.78
288,-0.2,-12.26,11.8
289,-0.2,-12.38,11.921
290,-0.2,-12.42,11.94
291,-0.2,-12.54,12.06
292,-0.2,-12.56,12.08
293,-0.2,-12.68,12.189
294,-0.2,-12.72,12.204
295,-0.2,-12.82,12.284
296,-0.2,-12.82,12.3
297,-0.2,-12.92,12.383
298,-0.2,-12.94,12.4
299,-0.3,-13.04,12.488
300,-0.2,-13.08,12.502
301,-0.3,-13.18,12.584
302,-0.3,-13.2,12.6
303,-0.3,-13.28,12.68
304,-0.3,-13.3,12.7
305,-0.3,-13.38,12.781
306,-0.3,-13.4,12.8
307,-0.3,-13.5,12.88
308,-0.3,-13.52,12.9
309,-0.3,-13.66,13.008
310,-0.3,-13.68,13.022
311,-0.4,-13.76,13.1
312,-0.3,-13.78,13.121
313,-0.3,-13.9,13.225
314,-0.3,-13.94,13.24
315,-0.3,-14.04,13.324
316,-0.3,-14.04,13.34
317,-0.3,-14.14,13.42
318,-0.3,-14.16,13.441
319,-0.3,-14.3,13.56
320,-0.3,-14.32,13.581
321,-0.3,-14.42,13.65
322,-0.3,-14.42,13.664
323,-0.3,-14.52,13.74
324,-0.3,-14.52,13.76
325,-0.3,-14.6,13.82
326,-0.3,-14.62,13.841
327,-0.3,-14.7,13.888
328,-0.3,-14.7,13.904
329,-0.3,-14.78,13.962
330,-0.3,-14.78,13.981
331,-0.3,-14.84,14.029
332,-0.3,-14.84,14.044
333,-0.3,-14.92,14.102
334,-0.3,-14.96,14.12
335,-0.3,-15.02,14.181
336,-0.3,-15.02,14.2
337,-0.3,-15.12,14.26
338,-0.3,-15.12,14.28
339,-0.3,-15.2,14.34
340,-0.3,-15.22,14.36
341,-0.3,-15.36,14.48
342,-0.3,-15.38,14.5
343,-0.3,-15.5,14.586
344,-0.3,-15.5,14.6
345,-0.3,-15.58,14.66
346,-0.3,-15.58,14.68
347,-0.3,-15.68,14.765
348,-0.3,-15.72,14.78
349,-0.3,-15.82,14.866
350,-0.3,-15.84,14.88
351,-0.3,-15.92,14.94
352,-0.3,-15.92,14.96
353,-0.3,-16.02,15.04
354,-0.3,-16.04,15.061
355,-0.3,-16.12,15.12
356,-0.3,-16.14,15.141
357,-0.3,-16.24,15.224
358,-0.3,-16.24,15.24
359,-0.3,-16.34,15.326
360,-0.3,-16.38,15.34
361,-0.3,-16.48,15.427
362,-0.3,-16.5,15.44
363,-0.3,-16.58,15.509
364,-0.3,-16.58,15.522
365,-0.3,-16.66,15.586
366,-0.3,-16.68,15.6
367,-0.3,-16.76,15.661
368,-0.3,-16.76,15.68
369,-0.3,-16.86,15.768
370,-0.3,-16.88,15.782
371,-0.3,-16.96,15.84
372,-0.3,-16.96,15.86
373,-0.3,-17.06,15.921
374,-0.3,-17.06,15.94
375,-0.3,-17.16,16.024
376,-0.3,-17.18,16.04
377,-0.3,-17.28,16.126
378,-0.3,-17.32,16.14
379,-0.3,-17.42,16.229
380,-0.3,-17.44,16.244
381,-0.3,-17.54,16.36
382,-0.3,-17.56,16.38
383,-0.3,-17.66,16.46
384,-0.3,-17.7,16.481
385,-0.3,-17.8,16.58
386,-0.3,-17.84,16.601
387,-0.3,-17.94,16.684
388,-0.3,-17.98,16.7
389,-0.3,-18.08,16.788
390,-0.3,-18.08,16.802
391,-0.3,-18.16,16.862
392,-0.3,-18.18,16.88
393,-0.3,-18.28,16.967
394,-0.3,-18.28,16.98
395,-0.3,-18.36,17.041
396,-0.3,-18.38,17.06
397,-0.3,-18.48,17.149
398,-0.3,-18.5,17.164
399,-0.3,-18.58,17.228
400,-0.3,-18.6,17.242
401,-0.2,-18.66,17.302
402,-0.2,-18.68,17.32
403,-0.2,-18.76,17.388
404,-0.3,-18.78,17.402
405,-0.3,-18.86,17.469
406,-0.2,-18.88,17.485
407,-0.3,-18.94,17.547
408,-0.3,-18.96,17.562
409,-0.3,-19.04,17.626
410,-0.3,-19.06,17.642
411,-0.3,-19.14,17.7
412,-0.3,-19.14,17.72
413,-0.3,-19.24,17.8
414,-0.3,-19.26,17.82
415,-0.3,-19.38,17.908
416,-0.3,-19.4,17.923
417,-0.3,-19.44,17.985
418,-0.3,-19.48,18
419,-0.3,-19.54,18.063
420,-0.3,-19.58,18.08
421,-0.3,-19.7,18.2
422,-0.2,-19.72,18.22
423,-0.3,-19.86,18.321
424,-0.2,-19.88,18.34
425,-0.3,-19.98,18.44
426,-0.2,-20,18.46
427,-0.2,-20.1,18.53
428,-0.2,-20.1,18.546
429,-0.2,-20.24,18.64
430,-0.2,-20.26,18.661
