Reading,Load [N],Travel [mm],Time
260,0,-8.12,8.303
261,0,-8.14,8.319
262,0,-8.2,8.363
263,0,-8.22,8.379
264,0,-8.28,8.427
265,0,-8.28,8.439
266,0,-8.34,8.5
267,0,-8.34,8.519
268,0,-8.4,8.559
269,0,-8.42,8.58
270,0,-8.5,8.619
271,0,-8.5,8.639
272,0,-8.54,8.682
273,0,-8.58,8.699
274,0,-8.62,8.743
275,0,-8.66,8.759
276,0,-8.7,8.807
277,0,-8.72,8.819
278,0,-8.78,8.88
279,0,-8.8,8.9
280,0,-8.86,8.939
281,0,-8.88,8.959
282,0,-8.94,9.002
283,0,-8.96,9.019
284,0,-9,9.061
285,0,-9.04,9.079
286,0,-9.08,9.122
287,0,-9.1,9.139
288,0,-9.16,9.186
289,0,-9.16,9.199
290,0,-9.22,9.242
291,0,-9.24,9.259
292,0,-9.28,9.301
293,0,-9.28,9.319
294,0,-9.36,9.365
295,0,-9.36,9.379
296,0,-9.42,9.419
297,0,-9.44,9.439
298,0,-9.48,9.48
299,0,-9.52,9.499
300,0,-9.56,9.539
301,0,-9.56,9.559
302,0,-9.72,9.665
303,0,-9.72,9.68
304,0,-9.82,9.779
305,0,-9.84,9.799
306,0,-9.94,9.879
307,0,-9.98,9.899
308,0,-10.08,9.98
309,0,-10.1,9.999
310,0,-10.2,10.099
311,0,-10.22,10.119
312,0,-10.3,10.179
313,0,-10.32,10.199
314,0,-10.38,10.259
315,0,-10.42,10.279
316,0,-10.46,10.321
317,0,-10.48,10.339
318,0,-10.54,10.379
319,0,-10.56,10.399
320,0,-10.6,10.443
321,0,-10.64,10.46
322,0,-10.68,10.502
323,0,-10.7,10.519
324,0,-10.78,10.599
325,0,-10.82,10.619
326,0,-10.94,10.725
327,0,-10.96,10.74
328,0,-11.04,10.819
329,0,-11.06,10.839
330,0,-11.2,10.946
331,0,-11.22,10.96
332,0,-11.3,11.039
333,0,-11.32,11.059
334,0,-11.4,11.12
335,0,-11.42,11.14
336,0,-11.48,11.199
337,0,-11.5,11.219
338,0,-11.58,11.267
339,0,-11.6,11.279
340,0,-11.64,11.339
341,0,-11.68,11.359
342,0,-11.72,11.419
343,0,-11.76,11.439
344,0,-11.88,11.541
345,0,-11.9,11.559
346,0,-11.98,11.619
347,0,-12,11.639
348,0,-12.1,11.724
349,0,-12.1,11.739
350,0,-12.24,11.84
351,0,-12.26,11.86
352,0,-12.36,11.942
353,-0.1,-12.38,11.959
354,-0.1,-12.52,12.067
355,0,-12.52,12.079
356,0,-12.58,12.141
357,-0.1,-12.62,12.159
358,0,-12.72,12.259
359,0,-12.74,12.28
360,0,-12.84,12.359
361,0,-12.86,12.379
362,0,-12.92,12.421
363,0,-12.94,12.439
364,0,-13,12.483
365,0,-13,12.499
366,0,-13.08,12.545
367,0,-13.1,12.56
368,0,-13.14,12.619
369,0,-13.18,12.639
370,0,-13.22,12.679
371,0,-13.24,12.699
372,0,-13.3,12.741
373,0,-13.3,12.759
374,0,-13.36,12.801
375,0,-13.38,12.819
376,0,-13.42,12.866
377,0,-13.46,12.879
378,0,-13.5,12.925
379,0,-13.52,12.939
380,0,-13.58,12.986
381,0,-13.6,13
382,0,-13.66,13.049
383,0,-13.66,13.061
384,0,-13.74,13.119
385,0,-13.76,13.139
386,0,-13.8,13.183
387,0,-13.8,13.199
388,0,-13.88,13.245
389,0,-13.9,13.259
390,0,-13.96,13.305
391,0,-13.96,13.319
392,0,-14.04,13.379
393,-0.1,-14.06,13.399
394,-0.1,-14.18,13.506
395,0,-14.22,13.519
396,-0.1,-14.3,13.599
397,-0.1,-14.32,13.62
398,0,-14.42,13.699
399,-0.1,-14.42,13.719
400,0,-14.6,13.859
401,0,-14.62,13.879
402,0,-14.74,14
403,0,-14.78,14.02
404,0,-14.88,14.1
405,0,-14.9,14.119
406,0,-15.02,14.225
407,0,-15.02,14.24
408,0,-15.12,14.319
409,0,-15.16,14.339
410,0,-15.22,14.403
411,0,-15.26,14.419
412,0,-15.34,14.499
413,0,-15.36,14.52
414,0,-15.44,14.58
415,0,-15.46,14.599
416,0,-15.54,14.662
417,0,-15.54,14.68
418,0,-15.64,14.759
419,0,-15.66,14.779
420,0,-15.74,14.839
421,0,-15.74,14.859
422,0,-15.84,14.927
423,0,-15.84,14.941
424,0,-15.92,14.999
425,0,-15.94,15.019
426,0,-16.02,15.081
427,0,-16.04,15.099
428,0,-16.12,15.164
429,0,-16.14,15.179
430,0,-16.22,15.259
431,0,-16.24,15.28
432,0,-16.32,15.345
433,0,-16.34,15.36
434,0,-16.42,15.425
435,0,-16.42,15.44
436,0,-16.52,15.519
437,0,-16.52,15.54
438,0,-16.62,15.599
439,0,-16.62,15.619
440,0,-16.72,15.682
441,0,-16.72,15.699
442,0,-16.84,15.78
443,0,-16.86,15.799
444,0,-16.94,15.864
445,0,-16.96,15.88
446,0,-17.04,15.945
447,0,-17.06,15.959
448,0,-17.1,16.02
449,0,-17.14,16.04
450,0.1,-17.18,16.099
451,0.1,-17.22,16.119
452,0.1,-17.28,16.163
453,0.1,-17.28,16.179
454,0.1,-17.34,16.226
455,0,-17.36,16.24
456,0.1,-17.44,16.299
457,0.1,-17.44,16.32
458,0,-17.52,16.359
459,0.1,-17.52,16.379
460,0,-17.6,16.424
461,0,-17.6,16.439
462,0,-17.66,16.499
463,0,-17.7,16.52
464,0,-17.76,16.581
465,0,-17.76,16.599
466,0,-17.84,16.647
467,0,-17.84,16.659
468,0,-18,16.768
469,0,-18,16.781
470,0,-18.04,16.839
471,0,-18.08,16.859
472,0,-18.18,16.939
473,0,-18.2,16.959
474,0,-18.3,17.039
475,0,-18.32,17.059
476,0,-18.4,17.139
477,0,-18.44,17.16
478,0,-18.5,17.24
479,0,-18.56,17.259
480,0,-18.64,17.32
481,0,-18.66,17.339
482,0,-18.74,17.419
483,0,-18.76,17.439
484,0,-18.86,17.519
485,0,-18.88,17.54
486,0,-19.02,17.639
487,0,-19.04,17.659
488,0,-19.12,17.739
489,0,-19.14,17.759
490,0,-19.24,17.839
491,0,-19.26,17.859
492,0,-19.34,17.94
493,0,-19.38,17.96
494,0,-19.5,18.079
495,0,-19.54,18.1
496,0.1,-19.62,18.167
497,0,-19.64,18.181
498,0,-19.72,18.259
499,0,-19.76,18.279
500,0,-19.82,18.36
